SQL_result,Pandas_merge_result
A Flight of Arrows (The Pathfinders #2) | 55.53 | 5858.415 | 5 | 1 | Historical Fiction,A Flight of Arrows (The Pathfinders #2) | 55.53 | 5858.415 | 5 | 1 | Historical Fiction
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1) | 52.3 | 5517.65 | 5 | 1 | Mystery,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1) | 52.3 | 5517.65 | 5 | 1 | Mystery
A Time of Torment (Charlie Parker #14) | 48.35 | 5100.925 | 5 | 1 | Mystery,A Time of Torment (Charlie Parker #14) | 48.35 | 5100.925 | 5 | 1 | Mystery
While You Were Mine | 41.32 | 4359.26 | 5 | 1 | Historical Fiction,While You Were Mine | 41.32 | 4359.26 | 5 | 1 | Historical Fiction
The Red Tent | 35.66 | 3762.13 | 5 | 1 | Historical Fiction,The Red Tent | 35.66 | 3762.13 | 5 | 1 | Historical Fiction
Mrs. Houdini | 30.25 | 3191.375 | 5 | 1 | Historical Fiction,Mrs. Houdini | 30.25 | 3191.375 | 5 | 1 | Historical Fiction
The Passion of Dolssa | 28.32 | 2987.76 | 5 | 1 | Historical Fiction,The Passion of Dolssa | 28.32 | 2987.76 | 5 | 1 | Historical Fiction
"1,000 Places to See Before You Die | 26.08 | 2751.44 | 5 | 1 | Travel","1,000 Places to See Before You Die | 26.08 | 2751.44 | 5 | 1 | Travel"
What Happened on Beale Street (Secrets of the South Mysteries #2) | 25.37 | 2676.5350000000003 | 5 | 1 | Mystery,What Happened on Beale Street (Secrets of the South Mysteries #2) | 25.37 | 2676.5350000000003 | 5 | 1 | Mystery
The Silkworm (Cormoran Strike #2) | 23.05 | 2431.775 | 5 | 1 | Mystery,The Silkworm (Cormoran Strike #2) | 23.05 | 2431.775 | 5 | 1 | Mystery
