title,price_inr
Boar Island (Anna Pigeon #19),6275.139999999999
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),6087.35
A Year in Provence (Provence #1),6000.84
The Past Never Ends,5960.75
The Last Painting of Sara de Vos,5860.525
A Flight of Arrows (The Pathfinders #2),5858.415
Murder at the 42nd Street Library (Raymond Ambler #1),5734.98
The Last Mile (Amos Decker #2),5719.155
1st to Die (Women's Murder Club #1),5694.889999999999
Tipping the Velvet,5669.570000000001
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),5517.65
The Guernsey Literary and Potato Peel Pie Society,5225.415
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,5214.865
See America: A Celebration of Our National Parks & Treasured Sites,5155.785
A Time of Torment (Charlie Parker #14),5100.925
Sharp Objects,5045.01
Girl in the Blue Coat,4940.565
Glory over Everything: Beyond The Kitchen House,4836.120000000001
It's Only the Himalayas,4765.435
A Summer In Europe,4677.870000000001
The Murder of Roger Ackroyd (Hercule Poirot #4),4652.55
The Exiled,4583.975
While You Were Mine,4359.26
A Paris Apartment,4115.554999999999
Neither Here nor There: Travels in Europe,4109.225
In the Woods (Dublin Murder Squad #1),4049.09
The Invention of Wings,3939.37
Under the Tuscan Sun,3938.315
The House by the Lake,3898.225
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,3897.17
The Red Tent,3762.13
Most Wanted,3722.04
The Secret Healer,3646.08
World Without End (The Pillars of the Earth #2),3478.335
The Great Railway Bazaar,3221.97
Mrs. Houdini,3191.375
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,3132.295
The Passion of Dolssa,2987.76
The Marriage of Opposites,2962.44
Lost Among the Living,2922.35
The Widow,2875.9300000000003
Poisonous (Max Revere Novels #3),2827.4
Girl With a Pearl Earring,2824.235
"1,000 Places to See Before You Die",2751.44
Starlark,2725.065
Extreme Prey (Lucas Davenport #26),2679.7
What Happened on Beale Street (Secrets of the South Mysteries #2),2676.5350000000003
The Mysterious Affair at Styles (Hercule Poirot #1),2616.4
Career of Evil (Cormoran Strike #3),2607.96
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),2448.655
The Silkworm (Cormoran Strike #2),2431.775
Voyager (Outlander #3),2222.885
Delivering the Truth (Quaker Midwife Mystery #1),2203.895
Between Shades of Gray,2193.345
"Love, Lies and Spies",2168.025
Blood Defense (Samantha Brinkman #1),2141.65
"In a Dark, Dark Wood",2070.965
The Cuckoo's Calling (Cormoran Strike #1),2026.655
Lilac Girls,1823.04
A Spy's Devotion (The Regency Spies of London #1),1790.3349999999998
A Study in Scarlet (Sherlock Holmes #1),1765.015
A Murder in Time,1755.52
The Constant Princess (The Tudor Court #1),1753.41
The Girl In The Ice (DCI Erika Foster #1),1672.175
That Darkness (Gardiner and Renner #1),1468.56
Playing with Fire,1446.4050000000002
The Girl You Lost,1296.5949999999998
Hide Away (Eve Duncan #20),1249.12
Tastes Like Fear (DI Marnie Rome #3),1127.7949999999998
